,Unnamed: 0.1,Unnamed: 0,filename,n_objects,class,split,threshold,prompt_notation,predicted_counts,generated_description
0,0,0,1050.jpg,136,sheep,test_coco,0.03,a sheep,108,"A sheep is a large, furry animal with a distinctive woolly coat. It has a round body, short legs, and a long tail."
1,1,1,1053.jpg,207,sheep,test_coco,0.03,a sheep,119,"A sheep is a large, furry animal with a distinctive woolly coat. It has a round body, short legs, and a long tail."
2,2,2,1061.jpg,22,sheep,test_coco,0.03,a sheep,21,"A sheep is a large, furry animal with a distinctive woolly coat. It has a round body, short legs, and a long tail."
3,3,3,1106.jpg,49,markers,test,0.01,a marker,20,"A marker is a small, handheld tool with a long, thin, cylindrical body and a flat, round or slightly pointed tip."
4,4,4,1123.jpg,3701,markers,test,0.01,a marker,67,"A marker is a small, handheld tool with a long, thin, cylindrical body and a flat, round or slightly pointed tip."
5,5,5,1130.jpg,61,markers,test,0.01,a marker,10,"A marker is a small, handheld tool with a long, thin, cylindrical body and a flat, round or slightly pointed tip."
6,6,6,1455.jpg,63,keyboard keys,test,0.01,a keyboard key,45,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
7,7,7,1456.jpg,184,keyboard keys,test,0.01,a keyboard key,138,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
8,8,8,1458.jpg,162,keyboard keys,test,0.01,a keyboard key,125,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
9,9,9,1461.jpg,99,keyboard keys,test,0.01,a keyboard key,98,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
10,10,10,1462.jpg,409,keyboard keys,test,0.01,a keyboard key,340,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
11,11,11,1463.jpg,60,keyboard keys,test,0.01,a keyboard key,57,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
12,12,12,1464.jpg,59,keyboard keys,test,0.01,a keyboard key,58,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
13,13,13,1467.jpg,70,keyboard keys,test,0.01,a keyboard key,17,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
14,14,14,1493.jpg,67,keyboard keys,test,0.01,a keyboard key,60,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
15,15,15,1497.jpg,207,keyboard keys,test,0.01,a keyboard key,161,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
16,16,16,1509.jpg,50,keyboard keys,test,0.01,a keyboard key,29,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
17,17,17,1537.jpg,110,keyboard keys,test,0.01,a keyboard key,88,"A keyboard key is a flat, rectangular shape with rounded edges. It is usually white or light-colored, with a black or dark-colored border."
18,18,18,1572.jpg,25,carrom board pieces,test,0.03,a carrom board piece,9,"A carrom board piece is a small, flat, circular disc with a hole in the center. It is typically made of wood and has a smooth, glossy surface."
19,19,19,1873.jpg,12,elephants,test_coco,0.1,an elephant,19,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
20,20,20,1874.jpg,11,elephants,test_coco,0.1,an elephant,35,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
21,21,21,1875.jpg,54,elephants,test_coco,0.1,an elephant,40,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
22,22,22,1881.jpg,11,elephants,test_coco,0.1,an elephant,17,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
23,23,23,1884.jpg,16,elephants,test_coco,0.1,an elephant,17,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
24,24,24,1886.jpg,12,elephants,test_coco,0.1,an elephant,26,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
25,25,25,1887.jpg,10,elephants,test_coco,0.1,an elephant,17,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
26,26,26,1888.jpg,11,elephants,test_coco,0.1,an elephant,17,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
27,27,27,1889.jpg,17,elephants,test_coco,0.1,an elephant,21,"An elephant is a large, gray animal with a long trunk and large ears. It has a wrinkled skin and a tusks on its tusks."
28,28,28,2.jpg,8,sea shells,test,0.05,a sea shell,8,"A sea shell is a small, spiral-shaped, hard, protective outer covering of a sea creature, such as a snail or a clam."
29,29,29,2004.jpg,226,sunglasses,test,0.05,a pair of sunglasses,293,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
30,30,30,2005.jpg,140,sunglasses,test,0.05,a pair of sunglasses,180,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
31,31,31,2007.jpg,108,sunglasses,test,0.05,a pair of sunglasses,134,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
32,32,32,2008.jpg,42,sunglasses,test,0.05,a pair of sunglasses,27,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
33,33,33,2009.jpg,198,sunglasses,test,0.05,a pair of sunglasses,311,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
34,34,34,2010.jpg,15,sunglasses,test,0.05,a pair of sunglasses,15,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
35,35,35,2011.jpg,79,sunglasses,test,0.05,a pair of sunglasses,137,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
36,36,36,2012.jpg,69,sunglasses,test,0.05,a pair of sunglasses,58,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
37,37,37,2013.jpg,49,sunglasses,test,0.05,a pair of sunglasses,23,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
38,38,38,2014.jpg,18,sunglasses,test,0.05,a pair of sunglasses,23,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
39,39,39,2015.jpg,25,sunglasses,test,0.05,a pair of sunglasses,3,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
40,40,40,2016.jpg,24,sunglasses,test,0.05,a pair of sunglasses,12,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
41,41,41,2017.jpg,104,sunglasses,test,0.05,a pair of sunglasses,112,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
42,42,42,2018.jpg,68,sunglasses,test,0.05,a pair of sunglasses,62,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
43,43,43,2019.jpg,14,sunglasses,test,0.05,a pair of sunglasses,32,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
44,44,44,2020.jpg,36,sunglasses,test,0.05,a pair of sunglasses,11,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
45,45,45,2021.jpg,44,sunglasses,test,0.05,a pair of sunglasses,55,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
46,46,46,2025.jpg,60,sunglasses,test,0.05,a pair of sunglasses,81,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
47,47,47,2026.jpg,16,sunglasses,test,0.05,a pair of sunglasses,2,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
48,48,48,2027.jpg,23,sunglasses,test,0.05,a pair of sunglasses,8,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
49,49,49,2028.jpg,19,sunglasses,test,0.05,a pair of sunglasses,16,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
50,50,50,2029.jpg,79,sunglasses,test,0.05,a pair of sunglasses,111,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
51,51,51,2030.jpg,29,sunglasses,test,0.05,a pair of sunglasses,57,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
52,52,52,2031.jpg,31,sunglasses,test,0.05,a pair of sunglasses,21,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
53,53,53,2032.jpg,12,sunglasses,test,0.05,a pair of sunglasses,19,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
54,54,54,2033.jpg,20,sunglasses,test,0.05,a pair of sunglasses,17,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
55,55,55,2035.jpg,28,sunglasses,test,0.05,a pair of sunglasses,27,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
56,56,56,2036.jpg,27,sunglasses,test,0.05,a pair of sunglasses,8,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
57,57,57,2037.jpg,134,sunglasses,test,0.05,a pair of sunglasses,163,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
58,58,58,2038.jpg,198,sunglasses,test,0.05,a pair of sunglasses,303,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
59,59,59,2039.jpg,81,sunglasses,test,0.05,a pair of sunglasses,1,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
60,60,60,2040.jpg,32,sunglasses,test,0.05,a pair of sunglasses,20,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
61,61,61,2041.jpg,88,sunglasses,test,0.05,a pair of sunglasses,102,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
62,62,62,2042.jpg,81,sunglasses,test,0.05,a pair of sunglasses,11,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
63,63,63,2043.jpg,90,sunglasses,test,0.05,a pair of sunglasses,129,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
64,64,64,2044.jpg,27,sunglasses,test,0.05,a pair of sunglasses,0,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
65,65,65,2045.jpg,22,sunglasses,test,0.05,a pair of sunglasses,19,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
66,66,66,2046.jpg,20,sunglasses,test,0.05,a pair of sunglasses,13,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
67,67,67,2047.jpg,30,sunglasses,test,0.05,a pair of sunglasses,16,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
68,68,68,2048.jpg,43,sunglasses,test,0.05,a pair of sunglasses,10,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
69,69,69,2049.jpg,79,sunglasses,test,0.05,a pair of sunglasses,114,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
70,70,70,2051.jpg,15,sunglasses,test,0.05,a pair of sunglasses,20,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
71,71,71,2052.jpg,8,sunglasses,test,0.05,a pair of sunglasses,5,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
72,72,72,2053.jpg,47,sunglasses,test,0.05,a pair of sunglasses,34,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
73,73,73,2054.jpg,63,sunglasses,test,0.05,a pair of sunglasses,27,A pair of sunglasses is a piece of eyewear that is designed to protect the eyes from the sun's harmful ultraviolet (UV) rays.
74,74,74,2138.jpg,29,apples,test_coco,0.03,an apple,27,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
75,75,75,2139.jpg,61,apples,test_coco,0.03,an apple,40,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
76,76,76,2140.jpg,21,apples,test_coco,0.03,an apple,17,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
77,77,77,2141.jpg,11,apples,test_coco,0.03,an apple,11,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
78,78,78,2142.jpg,35,apples,test_coco,0.03,an apple,34,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
79,79,79,2143.jpg,9,apples,test_coco,0.03,an apple,9,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
80,80,80,2145.jpg,14,apples,test_coco,0.03,an apple,12,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
81,81,81,2146.jpg,23,apples,test_coco,0.03,an apple,22,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
82,82,82,2147.jpg,37,apples,test_coco,0.03,an apple,39,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
83,83,83,2150.jpg,9,apples,test_coco,0.03,an apple,10,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
84,84,84,2151.jpg,11,apples,test_coco,0.03,an apple,14,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
85,85,85,2152.jpg,22,apples,test_coco,0.03,an apple,30,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
86,86,86,2153.jpg,12,apples,test_coco,0.03,an apple,9,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
87,87,87,2155.jpg,18,apples,test_coco,0.03,an apple,16,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
88,88,88,2156.jpg,68,apples,test_coco,0.03,an apple,42,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
89,89,89,2157.jpg,116,apples,test_coco,0.03,an apple,85,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
90,90,90,2159.jpg,621,apples,test_coco,0.03,an apple,264,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
91,91,91,2162.jpg,34,apples,test_coco,0.03,an apple,29,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
92,92,92,2163.jpg,13,apples,test_coco,0.03,an apple,7,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
93,93,93,2164.jpg,23,apples,test_coco,0.03,an apple,16,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
94,94,94,2165.jpg,24,apples,test_coco,0.03,an apple,24,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
95,95,95,2166.jpg,119,apples,test_coco,0.03,an apple,24,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
96,96,96,2168.jpg,175,apples,test_coco,0.03,an apple,135,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
97,97,97,2170.jpg,147,apples,test_coco,0.03,an apple,124,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
98,98,98,2171.jpg,20,apples,test_coco,0.03,an apple,19,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
99,99,99,2172.jpg,86,apples,test_coco,0.03,an apple,29,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
100,100,100,2173.jpg,169,apples,test_coco,0.03,an apple,97,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
101,101,101,2174.jpg,41,apples,test_coco,0.03,an apple,43,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
102,102,102,2175.jpg,91,apples,test_coco,0.03,an apple,36,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
103,103,103,2176.jpg,73,apples,test_coco,0.03,an apple,2,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
104,104,104,2177.jpg,27,apples,test_coco,0.03,an apple,29,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
