filename,n_objects,class,split
1050.jpg,136,sheep,test_coco
1053.jpg,207,sheep,test_coco
1061.jpg,22,sheep,test_coco
1074.jpg,9,buffaloes,train
1077.jpg,26,buffaloes,train
1084.jpg,198,buffaloes,train
1085.jpg,41,buffaloes,train
1087.jpg,82,buffaloes,train
1106.jpg,49,markers,test
1123.jpg,3701,markers,test
1130.jpg,61,markers,test
1246.jpg,159,roof tiles,train
1282.jpg,27,shoes,train
1306.jpg,44,shoes,train
1325.jpg,46,shoes,train
1328.jpg,12,shoes,train
1386.jpg,35,pills,val
1391.jpg,42,pills,val
1397.jpg,166,pills,val
1455.jpg,63,keyboard keys,test
1456.jpg,184,keyboard keys,test
1458.jpg,162,keyboard keys,test
1461.jpg,99,keyboard keys,test
1462.jpg,409,keyboard keys,test
1463.jpg,60,keyboard keys,test
1464.jpg,59,keyboard keys,test
1467.jpg,70,keyboard keys,test
1493.jpg,67,keyboard keys,test
1497.jpg,207,keyboard keys,test
1509.jpg,50,keyboard keys,test
1537.jpg,110,keyboard keys,test
1572.jpg,25,carrom board pieces,test
1625.jpg,18,pencils,train
1636.jpg,274,pencils,train
1668.jpg,48,pencils,train
1762.jpg,166,coins,train
1768.jpg,433,coins,train
1772.jpg,55,coins,train
1861.jpg,135,boats,train
1863.jpg,25,boats,train
1864.jpg,8,boats,train
1866.jpg,17,boats,train
1867.jpg,26,boats,train
1868.jpg,35,boats,train
187.jpg,28,geese,train
1872.jpg,12,boats,train
1873.jpg,12,elephants,test_coco
1874.jpg,11,elephants,test_coco
1875.jpg,54,elephants,test_coco
188.jpg,24,geese,train
1881.jpg,11,elephants,test_coco
1884.jpg,16,elephants,test_coco
1886.jpg,12,elephants,test_coco
1887.jpg,10,elephants,test_coco
1888.jpg,11,elephants,test_coco
1889.jpg,17,elephants,test_coco
189.jpg,18,geese,train
1890.jpg,76,bottle caps,val
1891.jpg,31,bottle caps,val
1892.jpg,180,bottle caps,val
1894.jpg,32,bottle caps,val
1895.jpg,30,bottle caps,val
1896.jpg,123,bottle caps,val
1897.jpg,12,bottle caps,val
1898.jpg,149,bottle caps,val
1899.jpg,8,bottle caps,val
19.jpg,9,bread rolls,train
190.jpg,13,seagulls,val
1900.jpg,12,bottle caps,val
1901.jpg,17,bottle caps,val
1902.jpg,94,bottle caps,val
1903.jpg,139,bottle caps,val
1906.jpg,70,bottle caps,val
1907.jpg,28,bottle caps,val
191.jpg,15,seagulls,val
1910.jpg,28,bottle caps,val
1911.jpg,119,bottle caps,val
1912.jpg,46,bottle caps,val
1913.jpg,50,bottle caps,val
1915.jpg,684,bottle caps,val
1916.jpg,20,bottle caps,val
1917.jpg,17,bottle caps,val
1918.jpg,18,bottle caps,val
1919.jpg,436,bottle caps,val
192.jpg,19,seagulls,val
1920.jpg,138,bottle caps,val
1921.jpg,49,bottle caps,val
1922.jpg,45,bottle caps,val
1924.jpg,48,bottle caps,val
1925.jpg,29,bottle caps,val
1927.jpg,68,bottle caps,val
1928.jpg,13,bottle caps,val
1929.jpg,86,bottle caps,val
1930.jpg,18,bottle caps,val
1931.jpg,54,bottle caps,val
1933.jpg,215,bottle caps,val
1934.jpg,171,bottle caps,val
1935.jpg,175,bottle caps,val
1936.jpg,501,bottle caps,val
1937.jpg,117,bottle caps,val
1938.jpg,9,bottle caps,val
1939.jpg,69,bottle caps,val
194.jpg,82,peaches,val
1942.jpg,163,bottle caps,val
1943.jpg,221,bottle caps,val
1944.jpg,48,bottle caps,val
1945.jpg,44,bottle caps,val
1946.jpg,40,bottle caps,val
1947.jpg,12,bottle caps,val
1948.jpg,22,bottle caps,val
1949.jpg,150,bottle caps,val
195.jpg,10,peaches,val
1950.jpg,21,bottle caps,val
1951.jpg,19,bottle caps,val
1952.jpg,37,bottle caps,val
1955.jpg,13,bottle caps,val
1956.jpg,1229,bottle caps,val
1957.jpg,39,bottle caps,val
1958.jpg,12,bottle caps,val
1959.jpg,68,bottle caps,val
196.jpg,85,peaches,val
1960.jpg,163,bottle caps,val
1961.jpg,111,bottle caps,val
1962.jpg,13,bottle caps,val
1964.jpg,8,bottle caps,val
1965.jpg,96,bottle caps,val
1966.jpg,19,bottle caps,val
1967.jpg,36,bottle caps,val
1968.jpg,13,bottle caps,val
1969.jpg,134,bottle caps,val
197.jpg,77,peaches,val
1971.jpg,19,bottle caps,val
1972.jpg,8,bottle caps,val
1973.jpg,12,bottle caps,val
1976.jpg,32,bottle caps,val
1977.jpg,132,bottle caps,val
1978.jpg,35,bottle caps,val
1979.jpg,40,bottle caps,val
198.jpg,69,peaches,val
1981.jpg,159,bottle caps,val
1982.jpg,8,bottle caps,val
1983.jpg,172,bottle caps,val
1984.jpg,35,bottle caps,val
1986.jpg,248,bottle caps,val
1987.jpg,95,bottle caps,val
1988.jpg,20,bottle caps,val
1989.jpg,148,bottle caps,val
199.jpg,8,balls,train
1990.jpg,476,bottle caps,val
1991.jpg,119,bottle caps,val
1992.jpg,18,bottle caps,val
1993.jpg,48,bottle caps,val
1994.jpg,313,bottle caps,val
1996.jpg,24,bottle caps,val
1997.jpg,14,bottle caps,val
1999.jpg,83,bottle caps,val
2.jpg,8,sea shells,test
20.jpg,16,bread rolls,train
200.jpg,9,balls,train
2000.jpg,18,bottle caps,val
2001.jpg,100,bottle caps,val
2003.jpg,20,bottle caps,val
2004.jpg,226,sunglasses,test
2005.jpg,140,sunglasses,test
2007.jpg,108,sunglasses,test
2008.jpg,42,sunglasses,test
2009.jpg,198,sunglasses,test
201.jpg,15,balls,train
2010.jpg,15,sunglasses,test
2011.jpg,79,sunglasses,test
2012.jpg,69,sunglasses,test
2013.jpg,49,sunglasses,test
2014.jpg,18,sunglasses,test
2015.jpg,25,sunglasses,test
2016.jpg,24,sunglasses,test
2017.jpg,104,sunglasses,test
2018.jpg,68,sunglasses,test
2019.jpg,14,sunglasses,test
202.jpg,9,balls,train
2020.jpg,36,sunglasses,test
2021.jpg,44,sunglasses,test
2025.jpg,60,sunglasses,test
2026.jpg,16,sunglasses,test
2027.jpg,23,sunglasses,test
2028.jpg,19,sunglasses,test
2029.jpg,79,sunglasses,test
2030.jpg,29,sunglasses,test
2031.jpg,31,sunglasses,test
2032.jpg,12,sunglasses,test
2033.jpg,20,sunglasses,test
2035.jpg,28,sunglasses,test
2036.jpg,27,sunglasses,test
2037.jpg,134,sunglasses,test
2038.jpg,198,sunglasses,test
2039.jpg,81,sunglasses,test
204.jpg,10,balls,train
2040.jpg,32,sunglasses,test
2041.jpg,88,sunglasses,test
2042.jpg,81,sunglasses,test
2043.jpg,90,sunglasses,test
2044.jpg,27,sunglasses,test
2045.jpg,22,sunglasses,test
2046.jpg,20,sunglasses,test
2047.jpg,30,sunglasses,test
2048.jpg,43,sunglasses,test
2049.jpg,79,sunglasses,test
205.jpg,22,balls,train
2051.jpg,15,sunglasses,test
2052.jpg,8,sunglasses,test
2053.jpg,47,sunglasses,test
2054.jpg,63,sunglasses,test
2057.jpg,15,cows,train
2058.jpg,26,cows,train
2059.jpg,28,cows,train
2060.jpg,19,cows,train
2061.jpg,21,cows,train
2062.jpg,15,cows,train
2063.jpg,21,cows,train
2064.jpg,17,cows,train
2065.jpg,50,cows,train
2068.jpg,24,cows,train
2069.jpg,28,cows,train
207.jpg,11,balls,train
2070.jpg,23,cows,train
2071.jpg,16,cows,train
2072.jpg,18,cows,train
2073.jpg,13,cows,train
2074.jpg,24,cows,train
2076.jpg,12,pens,train
2079.jpg,12,pens,train
208.jpg,68,balls,train
2080.jpg,24,pens,train
2081.jpg,13,pens,train
2083.jpg,8,pens,train
2084.jpg,20,pens,train
2085.jpg,17,pens,train
2086.jpg,14,pens,train
2087.jpg,36,pens,train
2088.jpg,10,pens,train
2089.jpg,31,pens,train
209.jpg,33,balls,train
2090.jpg,13,pens,train
2091.jpg,15,pens,train
2092.jpg,41,pens,train
2093.jpg,14,pens,train
2094.jpg,11,pens,train
2095.jpg,12,pens,train
2096.jpg,19,pens,train
2097.jpg,14,pens,train
2098.jpg,12,pens,train
2099.jpg,19,pens,train
21.jpg,8,bread rolls,train
210.jpg,8,balls,train
2101.jpg,20,pens,train
2102.jpg,27,pens,train
2103.jpg,10,pens,train
2104.jpg,21,pens,train
2106.jpg,121,pens,train
2107.jpg,15,pens,train
2108.jpg,12,pens,train
2109.jpg,10,pens,train
211.jpg,11,balls,train
2110.jpg,13,pens,train
2111.jpg,10,pens,train
2112.jpg,10,pens,train
2113.jpg,29,pens,train
2114.jpg,27,pens,train
2115.jpg,46,pens,train
2116.jpg,21,pens,train
2117.jpg,10,pens,train
2118.jpg,12,pens,train
2119.jpg,24,pens,train
212.jpg,51,balls,train
2121.jpg,13,pens,train
2122.jpg,9,pens,train
2123.jpg,20,pens,train
2124.jpg,9,pens,train
2127.jpg,14,pens,train
2128.jpg,12,pens,train
2129.jpg,20,pens,train
213.jpg,169,balls,train
2130.jpg,16,pens,train
2131.jpg,12,pens,train
2132.jpg,10,pens,train
2133.jpg,23,pens,train
2134.jpg,38,pens,train
2135.jpg,17,pens,train
2136.jpg,11,pens,train
2137.jpg,72,ants,val
2138.jpg,29,apples,test_coco
2139.jpg,61,apples,test_coco
214.jpg,64,grapes,val
2140.jpg,21,apples,test_coco
2141.jpg,11,apples,test_coco
2142.jpg,35,apples,test_coco
2143.jpg,9,apples,test_coco
2145.jpg,14,apples,test_coco
2146.jpg,23,apples,test_coco
2147.jpg,37,apples,test_coco
215.jpg,259,grapes,val
2150.jpg,9,apples,test_coco
2151.jpg,11,apples,test_coco
2152.jpg,22,apples,test_coco
2153.jpg,12,apples,test_coco
2155.jpg,18,apples,test_coco
2156.jpg,68,apples,test_coco
2157.jpg,116,apples,test_coco
2159.jpg,621,apples,test_coco
216.jpg,46,grapes,val
2162.jpg,34,apples,test_coco
2163.jpg,13,apples,test_coco
2164.jpg,23,apples,test_coco
2165.jpg,24,apples,test_coco
2166.jpg,119,apples,test_coco
2168.jpg,175,apples,test_coco
217.jpg,60,grapes,val
2170.jpg,147,apples,test_coco
2171.jpg,20,apples,test_coco
2172.jpg,86,apples,test_coco
2173.jpg,169,apples,test_coco
2174.jpg,41,apples,test_coco
2175.jpg,91,apples,test_coco
2176.jpg,73,apples,test_coco
2177.jpg,27,apples,test_coco
2178.jpg,10,apples,test_coco
2179.jpg,16,apples,test_coco
218.jpg,58,grapes,val
2180.jpg,223,apples,test_coco
2181.jpg,12,apples,test_coco
2182.jpg,39,apples,test_coco
2184.jpg,33,apples,test_coco
2189.jpg,8,apples,test_coco
219.jpg,47,grapes,val
2190.jpg,23,apples,test_coco
2191.jpg,42,apples,test_coco
2192.jpg,24,apples,test_coco
2193.jpg,32,apples,test_coco
2194.jpg,38,apples,test_coco
2195.jpg,13,apples,test_coco
2197.jpg,90,apples,test_coco
2198.jpg,27,apples,test_coco
2199.jpg,13,apples,test_coco
22.jpg,30,bread rolls,train
220.jpg,59,grapes,val
2202.jpg,99,apples,test_coco
2203.jpg,22,apples,test_coco
2204.jpg,9,apples,test_coco
2206.jpg,88,apples,test_coco
2207.jpg,10,apples,test_coco
2208.jpg,13,apples,test_coco
2209.jpg,11,apples,test_coco
221.jpg,42,grapes,val
2210.jpg,41,apples,test_coco
2211.jpg,49,apples,test_coco
2213.jpg,97,apples,test_coco
2215.jpg,55,apples,test_coco
2216.jpg,36,apples,test_coco
2217.jpg,25,apples,test_coco
2218.jpg,15,apples,test_coco
2219.jpg,356,apples,test_coco
222.jpg,65,grapes,val
2220.jpg,16,apples,test_coco
2223.jpg,30,apples,test_coco
2225.jpg,19,apples,test_coco
2226.jpg,47,apples,test_coco
2227.jpg,11,apples,test_coco
2229.jpg,111,apples,test_coco
2232.jpg,96,apples,test_coco
2233.jpg,64,apples,test_coco
2234.jpg,11,apples,test_coco
2235.jpg,16,apples,test_coco
2236.jpg,98,apples,test_coco
2237.jpg,20,apples,test_coco
2238.jpg,26,apples,test_coco
2239.jpg,17,apples,test_coco
224.jpg,20,grapes,val
2240.jpg,54,apples,test_coco
