,Unnamed: 0,filename,n_objects,class,split,optimized_prompts,threshold,prompt_notation,predicted_counts
0,0,1050.jpg,136,sheep,test_coco,"['sheep', 'goat', 'fluffy white wool animal', 'soft, textured fur animal']",0.03,a sheep,92
1,1,1053.jpg,207,sheep,test_coco,"['sheep', 'goat', 'fluffy white wool animal', 'soft, textured fur animal']",0.03,a sheep,121
2,2,1061.jpg,22,sheep,test_coco,"['sheep', 'goat', 'fluffy white wool animal', 'soft, textured fur animal']",0.03,a sheep,23
3,3,1106.jpg,49,markers,test,"['markers', 'highlighters', 'cylindrical objects with a felt tip', 'colorful plastic-bodied pens']",0.01,a marker,7
4,4,1123.jpg,3701,markers,test,"['markers', 'highlighters', 'cylindrical objects with a felt tip', 'colorful plastic-bodied pens']",0.01,a marker,3
5,5,1130.jpg,61,markers,test,"['markers', 'highlighters', 'cylindrical objects with a felt tip', 'colorful plastic-bodied pens']",0.01,a marker,7
6,6,1455.jpg,63,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,17
7,7,1456.jpg,184,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,120
8,8,1458.jpg,162,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,69
9,9,1461.jpg,99,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,91
10,10,1462.jpg,409,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
11,11,1463.jpg,60,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
12,12,1464.jpg,59,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
13,13,1467.jpg,70,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
14,14,1493.jpg,67,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
15,15,1497.jpg,207,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
16,16,1509.jpg,50,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
17,17,1537.jpg,110,keyboard keys,test,"['keyboard keys', 'keyboard key', 'keys', 'small, white rectangular objects', 'small, black rectangular objects']",0.01,a keyboard key,
18,18,1572.jpg,25,carrom board pieces,test,"['carrom board pieces', 'carrom pieces', 'small round objects used in carrom games', 'smooth, flat pieces made of wood or plastic']",0.03,a carrom board piece,
19,19,1873.jpg,12,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
20,20,1874.jpg,11,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
21,21,1875.jpg,54,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
22,22,1881.jpg,11,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
23,23,1884.jpg,16,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
24,24,1886.jpg,12,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
25,25,1887.jpg,10,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
26,26,1888.jpg,11,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
27,27,1889.jpg,17,elephants,test_coco,"['elephants', 'elephant', 'mammoths', 'large animals with trunks', 'bulky animals with gray skin and tusks']",0.1,an elephant,
28,28,2.jpg,8,sea shells,test,"['sea shells', 'sea shell', 'conch', 'curved, irregular objects with ridged surfaces', 'white, pink or brown curvy objects']",0.05,a sea shell,
29,29,2004.jpg,226,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
30,30,2005.jpg,140,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
31,31,2007.jpg,108,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
32,32,2008.jpg,42,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
33,33,2009.jpg,198,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
34,34,2010.jpg,15,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
35,35,2011.jpg,79,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
36,36,2012.jpg,69,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
