,filename,n_objects,class,split,prompt_notation,description
0,1106.jpg,49,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
1,1123.jpg,3701,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
2,1130.jpg,61,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
3,1455.jpg,63,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
4,1456.jpg,184,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
5,1458.jpg,162,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
6,1461.jpg,99,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
7,1462.jpg,409,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
8,1463.jpg,60,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
9,1464.jpg,59,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
10,1467.jpg,70,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
11,1493.jpg,67,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
12,1497.jpg,207,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
13,1509.jpg,50,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
14,1537.jpg,110,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
15,1572.jpg,25,carrom board pieces,test,a carrom board piece,"Small, round objects, typically smooth and flat, made of wood or plastic, often black, white, or red."
16,2.jpg,8,sea shells,test,a sea shell,"Curved, irregular objects with smooth or ridged surfaces, often white, pink, or brown in color."
17,2004.jpg,226,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
18,2005.jpg,140,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
19,2007.jpg,108,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
20,2008.jpg,42,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
21,2009.jpg,198,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
22,2010.jpg,15,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
23,2011.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
24,2012.jpg,69,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
25,2013.jpg,49,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
26,2014.jpg,18,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
27,2015.jpg,25,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
28,2016.jpg,24,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
29,2017.jpg,104,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
30,2018.jpg,68,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
31,2019.jpg,14,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
32,2020.jpg,36,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
33,2021.jpg,44,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
34,2025.jpg,60,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
35,2026.jpg,16,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
36,2027.jpg,23,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
37,2028.jpg,19,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
38,2029.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
39,2030.jpg,29,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
40,2031.jpg,31,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
41,2032.jpg,12,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
42,2033.jpg,20,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
43,2035.jpg,28,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
44,2036.jpg,27,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
45,2037.jpg,134,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
46,2038.jpg,198,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
47,2039.jpg,81,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
48,2040.jpg,32,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
49,2041.jpg,88,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
50,2042.jpg,81,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
51,2043.jpg,90,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
52,2044.jpg,27,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
53,2045.jpg,22,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
54,2046.jpg,20,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
55,2047.jpg,30,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
56,2048.jpg,43,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
57,2049.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
58,2051.jpg,15,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
59,2052.jpg,8,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
60,2053.jpg,47,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
61,2054.jpg,63,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
62,2607.jpg,36,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
63,2611.jpg,18,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
64,2612.jpg,28,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
65,2613.jpg,15,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
66,2614.jpg,20,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
67,2615.jpg,9,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
68,2617.jpg,41,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
69,2619.jpg,47,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
70,285.jpg,28,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
71,286.jpg,10,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
72,287.jpg,21,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
73,288.jpg,26,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
74,289.jpg,26,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
75,290.jpg,13,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
76,2907.jpg,28,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
77,2908.jpg,33,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
78,291.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
79,2910.jpg,14,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
80,2912.jpg,72,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
81,2913.jpg,15,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
82,2914.jpg,28,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
83,2915.jpg,61,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
84,2916.jpg,202,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
85,2917.jpg,20,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
86,2918.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
87,292.jpg,32,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
88,2920.jpg,13,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
89,2921.jpg,27,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
90,2922.jpg,19,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
91,2923.jpg,86,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
92,2924.jpg,54,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
93,2925.jpg,65,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
94,2926.jpg,24,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
95,2927.jpg,49,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
96,2928.jpg,45,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
97,2929.jpg,77,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
98,293.jpg,41,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
99,2930.jpg,60,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
100,2931.jpg,43,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
101,2932.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
102,2933.jpg,45,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
103,2934.jpg,56,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
104,2935.jpg,13,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
105,2936.jpg,23,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
106,2937.jpg,78,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
107,2938.jpg,9,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
108,2939.jpg,52,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
109,294.jpg,124,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
110,2941.jpg,17,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
111,2942.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
112,2943.jpg,29,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
113,2944.jpg,68,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
114,2945.jpg,14,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
115,2946.jpg,12,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
116,2947.jpg,36,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
117,2948.jpg,11,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
118,2949.jpg,24,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
119,295.jpg,64,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
120,2951.jpg,14,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
121,2952.jpg,67,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
122,2953.jpg,22,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
123,2954.jpg,38,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
124,2955.jpg,105,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
125,2956.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
126,296.jpg,30,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
127,297.jpg,12,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
128,298.jpg,33,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
129,299.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
130,3.jpg,11,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
131,300.jpg,33,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
132,301.jpg,28,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
133,302.jpg,20,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
134,303.jpg,51,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
135,305.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
136,306.jpg,30,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
137,307.jpg,21,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
138,308.jpg,27,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
139,309.jpg,113,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
140,310.jpg,65,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
141,311.jpg,55,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
142,3111.jpg,20,crab cakes,test,a crab cake,"Round, patty-shaped objects, golden-brown, with a crispy outer layer and soft, textured interior."
143,3112.jpg,10,crab cakes,test,a crab cake,"Round, patty-shaped objects, golden-brown, with a crispy outer layer and soft, textured interior."
144,3114.jpg,17,crab cakes,test,a crab cake,"Round, patty-shaped objects, golden-brown, with a crispy outer layer and soft, textured interior."
145,312.jpg,53,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
146,313.jpg,23,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
147,315.jpg,53,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
148,3153.jpg,24,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
149,3154.jpg,47,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
150,3155.jpg,45,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
151,3156.jpg,50,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
152,3157.jpg,42,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
153,3158.jpg,43,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
154,3159.jpg,58,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
155,316.jpg,25,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
156,3160.jpg,13,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
157,317.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
158,319.jpg,12,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
159,320.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
160,321.jpg,39,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
161,322.jpg,27,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
162,323.jpg,25,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
163,324.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
164,325.jpg,33,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
165,326.jpg,18,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
166,3268.jpg,19,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
167,3269.jpg,20,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
168,327.jpg,12,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
169,3270.jpg,19,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
170,3271.jpg,21,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
171,3274.jpg,9,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
172,3275.jpg,12,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
173,3276.jpg,18,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
174,3278.jpg,30,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
175,3279.jpg,23,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
176,328.jpg,35,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
177,3281.jpg,15,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
178,3282.jpg,31,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
179,3283.jpg,37,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
180,3284.jpg,16,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
