Unnamed: 0,filename,n_objects,class,split,prompt_notation,description
0,1050.jpg,136,sheep,test_coco,a sheep,"Medium-sized, quadrupedal objects with fluffy white wool and soft, textured fur."
1,1053.jpg,207,sheep,test_coco,a sheep,"Medium-sized, quadrupedal objects with fluffy white wool and soft, textured fur."
2,1061.jpg,22,sheep,test_coco,a sheep,"Medium-sized, quadrupedal objects with fluffy white wool and soft, textured fur."
3,1106.jpg,49,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
4,1123.jpg,3701,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
5,1130.jpg,61,markers,test,a marker,"Cylindrical objects, often colorful with a plastic body, smooth surface, and felt tip at one end."
6,1455.jpg,63,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
7,1456.jpg,184,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
8,1458.jpg,162,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
9,1461.jpg,99,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
10,1462.jpg,409,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
11,1463.jpg,60,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
12,1464.jpg,59,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
13,1467.jpg,70,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
14,1493.jpg,67,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
15,1497.jpg,207,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
16,1509.jpg,50,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
17,1537.jpg,110,keyboard keys,test,a keyboard key,"Small, square or rectangular objects, usually black or white, with smooth, slightly concave surfaces."
18,1572.jpg,25,carrom board pieces,test,a carrom board piece,"Small, round objects, typically smooth and flat, made of wood or plastic, often black, white, or red."
19,1873.jpg,12,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
20,1874.jpg,11,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
21,1875.jpg,54,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
22,1881.jpg,11,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
23,1884.jpg,16,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
24,1886.jpg,12,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
25,1887.jpg,10,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
26,1888.jpg,11,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
27,1889.jpg,17,elephants,test_coco,an elephant,"Large, bulky objects with gray, wrinkled skin, long trunks, and prominent tusks."
28,2.jpg,8,sea shells,test,a sea shell,"Curved, irregular objects with smooth or ridged surfaces, often white, pink, or brown in color."
29,2004.jpg,226,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
30,2005.jpg,140,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
31,2007.jpg,108,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
32,2008.jpg,42,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
33,2009.jpg,198,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
34,2010.jpg,15,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
35,2011.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
36,2012.jpg,69,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
37,2013.jpg,49,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
38,2014.jpg,18,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
39,2015.jpg,25,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
40,2016.jpg,24,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
41,2017.jpg,104,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
42,2018.jpg,68,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
43,2019.jpg,14,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
44,2020.jpg,36,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
45,2021.jpg,44,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
46,2025.jpg,60,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
47,2026.jpg,16,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
48,2027.jpg,23,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
49,2028.jpg,19,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
50,2029.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
51,2030.jpg,29,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
52,2031.jpg,31,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
53,2032.jpg,12,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
54,2033.jpg,20,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
55,2035.jpg,28,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
56,2036.jpg,27,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
57,2037.jpg,134,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
58,2038.jpg,198,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
59,2039.jpg,81,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
60,2040.jpg,32,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
61,2041.jpg,88,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
62,2042.jpg,81,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
63,2043.jpg,90,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
64,2044.jpg,27,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
65,2045.jpg,22,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
66,2046.jpg,20,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
67,2047.jpg,30,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
68,2048.jpg,43,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
69,2049.jpg,79,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
70,2051.jpg,15,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
71,2052.jpg,8,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
72,2053.jpg,47,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
73,2054.jpg,63,sunglasses,test,a pair of sunglasses,"Curved objects with dark lenses, thin frame, typically plastic or metal, smooth and glossy surface."
74,2138.jpg,29,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
75,2139.jpg,61,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
76,2140.jpg,21,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
77,2141.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
78,2142.jpg,35,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
79,2143.jpg,9,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
80,2145.jpg,14,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
81,2146.jpg,23,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
82,2147.jpg,37,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
83,2150.jpg,9,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
84,2151.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
85,2152.jpg,22,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
86,2153.jpg,12,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
87,2155.jpg,18,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
88,2156.jpg,68,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
